"study_ID" "type" "rgodHRother" "ma" "author_andor_study" "year" "Ntot" "ES" "SE" "unique" "citations" "countrycode" "jrnl_impact" "similarity" "N1" "N2" "remarks_N" "remarks_type" "remarks" "meta_nr" "typeWords" "Fisherz" "FisherzSE" "FisherzUncoined"
1 2 4 "aas" "Addington" 2003 378 1 0.140283266 1 59 "CA" 4.426 1 312 66 NA NA NA "Meta-Analysis 1" "Group Differences" 0.371053999608324 0.0516397779494322 0.371053999608324
2 2 4 "aas" "Gonzalez-Blanch" 2006 85 0.8 0.225455192 1 22 "ES" 3.355 1 42 43 NA NA NA "Meta-Analysis 1" "Group Differences" 0.390009616981735 0.110431526074847 0.390009616981735
3 2 4 "aas" "Pena" 2011 120 1.42 0.222354083 1 9 "ES" 4.426 1 86 34 NA NA NA "Meta-Analysis 1" "Group Differences" 0.602716240068805 0.0924500327042049 0.602716240068805
4 2 4 "aas" "Ngoma" 2010 341 1.42 0.121703307 1 2 "CD" 2.682 1 188 153 NA NA NA "Meta-Analysis 1" "Group Differences" 0.657779440360939 0.0543928293220421 0.657779440360939
5 2 4 "aas" "Zabala" 2010 205 0.66 0.143569896 1 32 "ES" 3.355 1 107 98 NA NA NA "Meta-Analysis 1" "Group Differences" 0.323984129535086 0.0703597544730292 0.323984129535086
6 2 4 "aas" "Mohamed" 1999 399 0.55 0.119566128 1 269 "US" 13.747 1 94 305 NA NA NA "Meta-Analysis 1" "Group Differences" 0.231332683339432 0.0502518907629606 0.231332683339432
7 2 4 "aas" "Ma" 2007 340 0.81 0.115388768 1 36 "CN" 3.271 1 207 133 NA NA NA "Meta-Analysis 1" "Group Differences" 0.385659724201511 0.0544734710702843 0.385659724201511
8 2 4 "aas" "Joyce" 2002 217 1.11 0.150125149 1 37 "GB" NA 1 136 81 NA NA NA "Meta-Analysis 1" "Group Differences" 0.513950532426782 0.0683585927024663 0.513950532426782
9 2 4 "aas" "Aas" 2011 56 0.975 0.283341834 1 22 "GB" 5.428 1 30 26 NA NA NA "Meta-Analysis 1" "Group Differences" 0.468884062481733 0.137360563948689 0.468884062481733
10 2 4 "agne" "Maziade " 2009 67 1.583 0.293900377 1 22 "CA" 8.607 1 22 45 NA NA NA "Meta-Analysis 2" "Group Differences" 0.687860398651907 0.125 0.687860398651907
11 2 4 "agne" "Dworkin (adolescence)" 1993 125 1.314 0.19766926 1 67 "US" 8.607 0 67 58 NA NA NA "Meta-Analysis 2" "Group Differences" 0.615658369276191 0.0905357460425185 0.615658369276191
12 2 4 "agne" "Dworkin (childhood)" 1993 150 1.275 0.180466261 1 67 "US" 8.607 0 85 65 NA NA NA "Meta-Analysis 2" "Group Differences" 0.595907954859457 0.0824786098842323 0.595907954859457
13 2 4 "agne" "Fis" 2008 60 1.024 0.274599345 1 9 "TR" 3.554 1 30 30 NA NA NA "Meta-Analysis 2" "Group Differences" 0.491919110896092 0.132453235706504 0.491919110896092
14 2 4 "agne" "Groom" 2008 138 0.999 0.18071068 1 36 "GB" 4.426 1 66 72 NA NA NA "Meta-Analysis 2" "Group Differences" 0.480341968166985 0.086066296582387 0.480341968166985
15 2 4 "agne" "Bhojraj" 2009 133 0.907 0.182349652 1 25 "US" 4.426 0 70 63 NA NA NA "Meta-Analysis 2" "Group Differences" 0.438666795742491 0.0877058019307029 0.438666795742491
16 2 4 "agne" "Schreiber" 1992 84 0.573 0.248648432 1 22 "DE" 2.682 1 23 61 NA NA NA "Meta-Analysis 2" "Group Differences" 0.252806334213803 0.111111111111111 0.252806334213803
17 2 4 "agne" "Goodman" 1987 94 0.544 0.219705714 1 40 "DE" 8.607 1 61 33 NA NA NA "Meta-Analysis 2" "Group Differences" 0.256820261960855 0.104828483672192 0.256820261960855
18 2 4 "agne" "Worland" 1984 230 0.515 0.135162435 1 11 NA 3.167 1 100 130 NA NA NA "Meta-Analysis 2" "Group Differences" 0.252605137047895 0.0663723311599972 0.252605137047895
19 2 4 "agne" "Eack" 2010 133 0.493 0.176273788 1 38 "US" 8.607 1 70 63 NA NA NA "Meta-Analysis 2" "Group Differences" 0.243737836785603 0.0877058019307029 0.243737836785603
20 2 4 "agne" "Ozan" 2010 67 0.465 0.248945737 1 8 "TR" 2.974 1 30 37 NA NA NA "Meta-Analysis 2" "Group Differences" 0.22921515864238 0.125 0.22921515864238
21 2 4 "agne" "Goldstein" 2000 278 0.367 0.122771609 1 32 "US" 8.607 1 115 163 NA NA NA "Meta-Analysis 2" "Group Differences" 0.179774130703561 0.0603022689155527 0.179774130703561
22 2 4 "agne" "Sohlberg (Raven's matrices)" 1985 100 0.225 0.200631815 1 28 "US" 8.607 1 50 50 NA NA NA "Meta-Analysis 2" "Group Differences" 0.112264036742057 0.101534616513362 0.112264036742057
23 2 3 "amie" "Bartak" 1976 64 2.014903021 1.077226377 1 185 "GB" NA 1 17 47 NA NA NA "Meta-Analysis 3" "Group Differences" 0.472819654859512 0.128036879932896 0.472819654859512
24 2 3 "amie" "Danielsson" 2005 108 1.252762968 1.113766668 1 95 "SE" 4.584 1 6 102 NA NA NA "Meta-Analysis 3" "Group Differences" 0.157556482855262 0.0975900072948533 0.157556482855262
25 2 3 "amie" "Volkmar" 1990 186 1.401798548 0.757610955 1 214 "US" 6.354 1 27 159 NA NA NA "Meta-Analysis 3" "Group Differences" 0.268991829666865 0.0739221270954573 0.268991829666865
26 2 3 "amie" "Hrdlicka" 2004 69 0.619039208 0.827082785 1 37 "CZ" 3.554 1 14 55 NA NA NA "Meta-Analysis 3" "Group Differences" 0.136826720197108 0.123091490979333 0.136826720197108
27 2 3 "amie" "Olsson" 1988 52 -1.974081026 0.936897955 1 142 "SE" 7.008 1 6 46 NA NA NA "Meta-Analysis 3" "Group Differences" -0.34106671863287 0.142857142857143 -0.34106671863287
28 2 3 "amie" "Tuchman" 1991 290 0.302963269 0.399763475 1 145 "US" 5.297 1 68 222 NA NA NA "Meta-Analysis 3" "Group Differences" 0.0707085365389188 0.0590281336100955 0.0707085365389188
29 2 3 "amie" "Kielinen" 2004 187 0.829166137 0.400731808 1 81 "FI" 3.5 0 91 96 NA NA NA "Meta-Analysis 3" "Group Differences" 0.226547059212987 0.0737209780774486 0.226547059212987
30 2 3 "amie" "Jacobson" 1983 1090 1.223348051 0.246352336 1 15 "US" NA 1 384 706 NA NA NA "Meta-Analysis 3" "Group Differences" 0.316854202766899 0.030330895164369 0.316854202766899
