"","ID","Effect_ID","Author","PubYear","PubType","PeerReview","N","Effect_Info","yi","vi","Effect_Page","AdaptMeasures","AdaptMethod","AdaptMethod_Specific","SubjAdapt_Definition","CogAbilMeasure","CA_Measure","FinancSupport","Age","AgeInfo","Sex","Men_Prop","Country","Country_dichot","Sample","Sample_dichot","Duration","Task_type","Task","Complexity_component","Complexity_coordinative","Complexity_dynamic","dynamic_dichot","Comments"
"1",1,1,"Allworth",1999,"1",1,187,"CA and AP (Abstract reasoning)",0.33,0.00426913553763441,"105","2",1,2,"broad","Ravens Progressive Matrices","Specific",1,31.7,"between 17 and 65 (SD=11.05)",3,52.62,"Australia?","Other","2",2,"","",,,,"",,"Sample: Employees + Manager"
"2",1,2,"Allworth",1999,"1",1,187,"CA and AP (Clerical speed and acuracy)",0.25,0.00472530241935484,"105","2",1,2,"broad","Ball CSAT","ACT/SAT/GPA",1,31.7,"between 17 and 65 (SD=11.05)",3,52.62,"Australia?","Other","2",2,"","",,,,"",,"Sample: Employees + Manager"
"3",1,3,"Allworth",1999,"1",1,187,"CA and AP (numerical reasoning)",0.17,0.00507008177419355,"105","2",1,2,"broad","Ball NRT","Specific",1,31.7,"between 17 and 65 (SD=11.05)",3,52.62,"Australia?","Other","2",2,"","",,,,"",,"Sample: Employees + Manager"
"4",2,4,"Blickle",2011,"1",1,113,"CA and AP",-0.04,0.00890002285714286,"503","2",1,2,"broad","Wonderlic Personnel Test","General",1,35.1,"SD=5.3",3,75,"Germany","Other","2",2,"","",,,,"",,""
"5",3,5,"Pulakos",2002,"1",1,327,"CA and AP",0.142,0.00294502634017178,"315,317","2",1,2,"narrow","Armed Forces Qualifying Test (AFQT)","General",1,,"76%<27J, only 5 people >38J",3,83,"USA","USA","2",2,"","",,,,"",,""
"6",4,6,"Bell",2008,"1",1,350,"CA and AP",0.49,0.0016545788252149,"307","3",2,3,,"SAT or ACT","ACT/SAT/GPA",1,,"89.4% between 18 and 21J",3,42,"USA","USA","1",1,"180, of which 10 AP","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"3",1,""
"7",5,7,"Kozlowski",2001,"1",1,60,"CA and AP",0.281,0.0143781837206949,"17","3",2,3,,"Grade point average (GPA)","ACT/SAT/GPA",0,,"",,,"USA","USA","1",1,"300","TANDEM (radar-tracking simulation)","Simulation/video game",1,1,"3",1,""
"8",6,8,"Lang",2009,"1",1,184,"CA and AP",0.32,0.00440265442622951,"420","3",2,3,,"Wilde Intelligenz Test (WIT; folding boxes, completing number series, verbal analogies)","Specific",0,20.91,"between 16 and 33 (SD = 3.62)",3,49.46,"Germany","Other","1",1,"120-180","TankSoar (tank battle scenario)","Simulation/video game",1,1,"3",1,""
"9",7,9,"Shoss",2012,"1",1,77,"CA and AP",0.19,0.0122250422368421,"917","2",1,2,"narrow","Wonderlic Personnel Test","General",0,29.17,"",3,32.6,"USA","USA","2",2,"","",,,,"",,""
"10",8,10,"Stokes",2010,"1",1,132,"CA and AP(subjective)",0.31,0.00623691,"223","4(3+2)",1,2,"narrow","Wonderlic Personnel Test","General",0,20,"between 18 and 42",3,47.73,"USA","USA","4",2,"150","",,,,"",,"""18 percent international students primarily from India, and 8 percent other nationalities"""
