"","title","cite2","cite","journal","study_ID","group_id","ef_type","domain","mean_id","sd_id","meanMA_id","sdMA_id","cohensd_ma","quality_cohensd_ma","study_year","iq_id","n_id","age_id","testName_short","testName","reliability","new_test","sex_ID_id","id_mixed_id","mean_magroup","sd_magroup","meanMA_magroup","iq_magroup","n_magroup","age_magroup","testdescription","sex_ID_magroup","effectsize_ID","reverse_scale","ef_component","yi","vi"
"1","Inhibitory mechanisms in Down syndrome: Is there a specific or general deficit","Borella 2013","Borella et al. 2013","Research in Developmental Disabilities","1837","DS","inhibition","verbal",3.76,4.79,5.58,24.61,-0.00406338886631449,2,2013,38.26,19,14.58,"Animal Stroop","Animal Stroop adapted version",0,2,0.37,0,4.02,4.26,5.68,108.65,19,5.2,"Prepotent response inhibition. Animal Stroop (adapted from Wright et al., 2003 by Nichelli, Scala, Vago, Riva, &
Bulgheroni, 2004). The task, based on the classic Stroop paradigm, consists of a series of animal figures (goose, sheep, cow
and pig) in which the congruency between the head and the body is manipulated and participants have to name the animal
based on its body. The test includes four experimental conditions, each comprising 24 stimuli: (1) incongruent condition: each
animal’s head is replaced by the head of one of the others; (2) congruent condition: the stimuli are the same as the prototypes
presented to the child during the training phase; (3) control shape (structural control) condition: the head is replaced with a
geometrical figure (a square, circle, or triangle); and (4) control face (semantic control) condition: the head is a caricature of
human faces. Participants are asked to name the animal that the body belongs to as quickly as possible. In each experimental
condition, the 24 stimuli are presented to the child in a notebook, each page containing 8 stimuli (which are balanced in
terms of which way the faces are oriented: 4 facing right and 4 facing left). The different conditions (congruent, control
shape, control face, incongruent) are presented to the participants in random order and the time taken to respond to the
stimuli on each page is timed using a stopwatch. In Stroop tasks, strong responses to cues have to be restrained in order to
produce a less dominant response. The total time, in seconds, taken to respond to all the stimuli within a given condition
(three pages) was considered as a dependent variable. The total number of errors per condition was also considered,
however, because the erroneous responses were included in the response times (RTs), as in all clinical versions of this task
(see Ludwig, Borella, Tettamanti, & de Ribaupierre, 2010).
An interference index, based on the differences between the incongruent and control face condition (see Nichelli et al.,
2004), was calculated on the RTs and errors. A higher score in the interference index thus implies a greater difficulty in
controlling the prepotent response in the incongruent condition, and a consequently less efficient inhibition.",0.42,"1",-1,"inhibition",0.0561555107210318,0.105304650544531
"2","Inhibitory mechanisms in Down syndrome: Is there a specific or general deficit","Borella 2013","Borella et al. 2013","Research in Developmental Disabilities","1837","DS","inhibition","verbal",1.22,1.73,5.58,24.61,-0.00406338886631449,2,2013,38.26,19,14.58,"Proactive interference","Proactive interference task",0,1,0.37,0,0.25,0.23,5.68,108.65,19,5.2,"Resistance to proactive interference. The proactive interference (PI) task (adapted from Borella et al., 2010) was used,
which consists of 16 lists of words belonging to four categories (fruits, animals, body parts, and professions), divided into four
blocks. Each block contained four word lists of four words each, three belonging to the same category (e.g. fruits) and one to a
different category (e.g. animals) to enable the release from proactive interference. Each list consisted of words with a similar
frequency and imagery value. The lists were presented aurally at a rate of one word every 1 s. Participants were asked to
listen to each list. Between the presentation of the list and the recall phase, participants counted forward for 16 s (rehearsalprevention
task). Participants then had to recall as many words as possible, regardless of presentation order. For each participant we calculated the number of correctly recalled words, the proportion of intrusion errors (out of the
total number of words recalled) and two indices of susceptibility to interference, using the formula: (List 2 – List 1) and (List 3
– List 1). In this task, irrelevant information from prior trials had to be deleted to avoid the build-up of PI across trials.",0.42,"2",-1,"inhibition",-0.769515072745945,0.113054650620832
"3","Inhibitory mechanisms in Down syndrome: Is there a specific or general deficit","Borella 2013","Borella et al. 2013","Research in Developmental Disabilities","1837","DS","inhibition","verbal",0.8,0.79,5.58,24.61,-0.00406338886631449,2,2013,38.26,19,14.58,"Directed forgetting","Directed forgetting",0,1,0.37,0,1.47,0.96,5.68,108.65,19,5.2,"Response to distracter inhibition. Directed forgetting – blocked method (adapted from Borella, 2006; Borella, Ghisletta,
& de Ribaupierre, 2011). The task consisted of two lists of 8 unrelated words, each presented in two conditions ‘Remember
All’ and ‘Forget All’, which differed only in the cue (remember or forget) that participants received after hearing the first half
of the list (the first 4 words). For each of the two conditions, the experimenter read the words at a rate of 3 s per word. The
inter-list cue was given after the fourth words. In the ‘Remember All’ condition, participants were told that the previous list
(apart from the first 4 words) should be remembered for the next test. In the ‘Forget All’ condition, after the first 4 words had
been presented, the experimenter pretended to have made a mistake and given the wrong instruction, so participants had to
try and forget the irrelevant list and concentrate on the upcoming relevant list. Following the inter-list cue, the second part of
the list was presented for the two conditions in the same way as for the previous words. After a 30-s interval during which
participants were asked to draw a sun or a moon (this task was planned specifically for individuals with DS), a recall test was
conducted for each condition, in which participants were asked to recall all the items in the two lists, regardless of which cue
had been presented before. Participants had 2 min to answer for each condition, but were given extra time when needed.
The dependent variables were the words recalled in the first and second half of the list for the two conditions (‘Remember
All’ and ‘Forget All’). Words recalled in the ‘‘Forget All’’ condition (from the first half of the list) were considered as intrusion
errors because they should have been suppressed.",0.42,"3",-1,"inhibition",0.746119322256241,0.112588079513738
"4","Difficulties in working memory updating in individuals with intellectual disability.","Carretti 2010","Carretti et al. 2010","Journal of intellectual disability research","964","NSID","updating","verbal",5.04,3.76,6.17,1.5,-0.22,1,2010,NA,28,38.3,"Updating word span","Updating word span",0,1,0.54,1,7.29,3.98,6.5,NA,28,6.4,"WM updating word span
This task was an adaptation of the relevance-based
updating task proposed by Palladino et al. (2001)
(see Belacchi et al. 2010). The task used words with
high values of concreteness and familiarity (Barca
et al. 2002) and referred to objects easily comparable
for size. For each level of WM load (from 1 to
5), two trials composed of two lists were presented
to the participant who had to remember an increasing
number of items (from 1 to 5) according to the
criterion ‘recall the smallest object/s within each
list’ and in the order of presentation. In particular,
the number of words in the list was twice (first
trial) and two and a half times (second trial) the
number of words to be recalled. An example of first
type level-2 trial (i.e. two items to be recalled)
might be: pillow, ladder, pen, tree. In this case the
correct response is pillow and pen.",0.54,"4",1,"updating",-0.57304510330697,0.0743605418787866
"5","Strengths and weaknesses in executive functioning in children with intellectual disability","Danielsson 2012","Danielsson et al. 2012","Research in Developmental Disabilities","2944","NSID","inhibition","verbal",17.7,22.6,7.42,1.58333333333333,-0.366315789473684,1,2012,56.33,22,13.17,"VIMI verbal","Verbal Inhibition Motor Inhibition task verbal",0,2,0.55,1,7,4.8,8,109,22,7.33,"The inhibition tasks were from the ‘VIMI’, a test of verbal inhibition and motor inhibition (Henry, Messer, & Nash, in
press). In the verbal task, the experimenter said one out of two words (e.g. car or doll) and the task was to say the same word
as the experimenter. After 20 repetitions, the instructions were changed such that the participant must say the alternative
word; when the experimenter says ‘‘car’’, the participant should reply ‘‘doll’’, and vice versa for 20 repetitions. The motor
inhibition task involved the same procedure, but instead of words, a hand shape (e.g. fist vs. flat hand) was shown and
copied. The number of errors in the inhibition phases was used as measures of verbal and non-verbal inhibition,
respectively.",0.68,"5",-1,"inhibition",-0.643174620948505,0.0956099271935483
"6","Strengths and weaknesses in executive functioning in children with intellectual disability","Danielsson 2012","Danielsson et al. 2012","Research in Developmental Disabilities","2944","NSID","inhibition","visuospatial",37.3,26.7,7.42,1.58333333333333,-0.366315789473684,1,2012,56.33,22,13.17,"VIMI motor","Verbal Inhibition Motor Inhibition task motor",0,2,0.55,1,17.6,4.7,8,109,22,7.33,"The inhibition tasks were from the ‘VIMI’, a test of verbal inhibition and motor inhibition (Henry, Messer, & Nash, in
press). In the verbal task, the experimenter said one out of two words (e.g. car or doll) and the task was to say the same word
as the experimenter. After 20 repetitions, the instructions were changed such that the participant must say the alternative
word; when the experimenter says ‘‘car’’, the participant should reply ‘‘doll’’, and vice versa for 20 repetitions. The motor
inhibition task involved the same procedure, but instead of words, a hand shape (e.g. fist vs. flat hand) was shown and
copied. The number of errors in the inhibition phases was used as measures of verbal and non-verbal inhibition,
respectively.",0.68,"6",-1,"inhibition",-1.00916660776036,0.10248201411612
"7","Strengths and weaknesses in executive functioning in children with intellectual disability","Danielsson 2012","Danielsson et al. 2012","Research in Developmental Disabilities","2944","NSID","other","verbal",0.95,0.83,7.42,1.58333333333333,-0.366315789473684,1,2012,56.33,22,13.17,"D-KEFS sorting","D-KEFS sorting",0,2,0.55,1,2.1,1.1,8,109,22,7.33,"The planning, fluency, and verbal switching tasks from the Delis–Kaplan Test Battery (Delis, Kaplan, & Kramer, 2001) were
also given to the children. The ‘Sorting task’ was used to assess verbal and non-verbal planning and required the generation
of different ways to sort different types of picture cards into two discrete categories. The number of correct responses was
used as the measure planning – separate scores were available for verbal and non-verbal sorts.
The ‘Design fluency’ task required participants to generate as many different patterns as possible. The child was asked to
draw as many different designs as possible in 1 min, each in a different box, by connecting dots using four straight lines (with
no line drawn in isolation). The total number of different patterns created for two different sets of dots was used as the design
fluency measure.
In the ‘Verbal fluency’ task, the instructions were to generate as many words as possible in 1 min. All words should start
with a certain letter in the letter fluency task. All words should belong to a certain category in the category fluency task. For
both tasks, the measure used was total number of correct responses.
To assess verbal switching, the ‘category fluency switching task’ from the Delis–Kaplan Battery was used. The task
required children to generate category exemplars from two different categories alternately – hence requiring shifting
between each category. Scores represented the total number of correct answers from both categories in 1 min.
Finally, the ID/ED task from the CANTAB (Cambridge Cognition, 2006) was used to assess non-verbal switching. The task
required the participant to choose one of two figures on a computer screen; each figure contained both relevant and
irrelevant features with respect to the choice to be made and the figures became more complex as the task went on (features
included shapes, lines, and colours). The only guidance as to which features were important for the correct choices came
from feedback after each response was given via the touch screen (i.e. whether the choice had been correct or incorrect).
Once a participant had made a series of correct choices, the choice ‘criteria’ were altered and the participant was required to
use the correct/incorrect feedback to switch strategy with respect to the features used to make his or her choices. Total
number of errors made was scored.",0.68,"7",1,"other",-1.15899403126258,0.106173490505708
"8","Strengths and weaknesses in executive functioning in children with intellectual disability","Danielsson 2012","Danielsson et al. 2012","Research in Developmental Disabilities","2944","NSID","other","visuospatial",1.75,1.8,7.42,1.58333333333333,-0.366315789473684,1,2012,56.33,22,13.17,"D-KEFS sorting","D-KEFS sorting",0,2,0.55,1,3.32,1.9,8,109,22,7.33,"The planning, fluency, and verbal switching tasks from the Delis–Kaplan Test Battery (Delis, Kaplan, & Kramer, 2001) were
also given to the children. The ‘Sorting task’ was used to assess verbal and non-verbal planning and required the generation
of different ways to sort different types of picture cards into two discrete categories. The number of correct responses was
used as the measure planning – separate scores were available for verbal and non-verbal sorts.
The ‘Design fluency’ task required participants to generate as many different patterns as possible. The child was asked to
draw as many different designs as possible in 1 min, each in a different box, by connecting dots using four straight lines (with
no line drawn in isolation). The total number of different patterns created for two different sets of dots was used as the design
fluency measure.
In the ‘Verbal fluency’ task, the instructions were to generate as many words as possible in 1 min. All words should start
with a certain letter in the letter fluency task. All words should belong to a certain category in the category fluency task. For
both tasks, the measure used was total number of correct responses.
To assess verbal switching, the ‘category fluency switching task’ from the Delis–Kaplan Battery was used. The task
required children to generate category exemplars from two different categories alternately – hence requiring shifting
between each category. Scores represented the total number of correct answers from both categories in 1 min.
Finally, the ID/ED task from the CANTAB (Cambridge Cognition, 2006) was used to assess non-verbal switching. The task
required the participant to choose one of two figures on a computer screen; each figure contained both relevant and
irrelevant features with respect to the choice to be made and the figures became more complex as the task went on (features
included shapes, lines, and colours). The only guidance as to which features were important for the correct choices came
from feedback after each response was given via the touch screen (i.e. whether the choice had been correct or incorrect).
Once a participant had made a series of correct choices, the choice ‘criteria’ were altered and the participant was required to
use the correct/incorrect feedback to switch strategy with respect to the features used to make his or her choices. Total
number of errors made was scored.",0.68,"8",1,"other",-0.833083960367945,0.0987957827843448
"9","Strengths and weaknesses in executive functioning in children with intellectual disability","Danielsson 2012","Danielsson et al. 2012","Research in Developmental Disabilities","2944","NSID","shifting","verbal",7.15,2.87,7.42,1.58333333333333,-0.366315789473684,1,2012,56.33,22,13.17,"D-KEFS category fluency switch","Delis–Kaplan Category fluency switching",0,2,0.55,1,8.05,1.86,8,109,22,7.33,"The planning, fluency, and verbal switching tasks from the Delis–Kaplan Test Battery (Delis, Kaplan, & Kramer, 2001) were
also given to the children. The ‘Sorting task’ was used to assess verbal and non-verbal planning and required the generation
of different ways to sort different types of picture cards into two discrete categories. The number of correct responses was
used as the measure planning – separate scores were available for verbal and non-verbal sorts.
The ‘Design fluency’ task required participants to generate as many different patterns as possible. The child was asked to
draw as many different designs as possible in 1 min, each in a different box, by connecting dots using four straight lines (with
no line drawn in isolation). The total number of different patterns created for two different sets of dots was used as the design
fluency measure.
In the ‘Verbal fluency’ task, the instructions were to generate as many words as possible in 1 min. All words should start
with a certain letter in the letter fluency task. All words should belong to a certain category in the category fluency task. For
both tasks, the measure used was total number of correct responses.
To assess verbal switching, the ‘category fluency switching task’ from the Delis–Kaplan Battery was used. The task
required children to generate category exemplars from two different categories alternately – hence requiring shifting
between each category. Scores represented the total number of correct answers from both categories in 1 min.
Finally, the ID/ED task from the CANTAB (Cambridge Cognition, 2006) was used to assess non-verbal switching. The task
required the participant to choose one of two figures on a computer screen; each figure contained both relevant and
irrelevant features with respect to the choice to be made and the figures became more complex as the task went on (features
included shapes, lines, and colours). The only guidance as to which features were important for the correct choices came
from feedback after each response was given via the touch screen (i.e. whether the choice had been correct or incorrect).
Once a participant had made a series of correct choices, the choice ‘criteria’ were altered and the participant was required to
use the correct/incorrect feedback to switch strategy with respect to the features used to make his or her choices. Total
number of errors made was scored.",0.68,"9",1,"shifting",-0.365467660492084,0.0924268933052904
"10","Strengths and weaknesses in executive functioning in children with intellectual disability","Danielsson 2012","Danielsson et al. 2012","Research in Developmental Disabilities","2944","NSID","shifting","visuospatial",38,16.2,7.42,1.58333333333333,-0.366315789473684,1,2012,56.33,22,13.17,"CANTAB ID ED","CANTAB ID ED",0,2,0.55,1,34.3,8.2,8,109,22,7.33,"The planning, fluency, and verbal switching tasks from the Delis–Kaplan Test Battery (Delis, Kaplan, & Kramer, 2001) were
also given to the children. The ‘Sorting task’ was used to assess verbal and non-verbal planning and required the generation
of different ways to sort different types of picture cards into two discrete categories. The number of correct responses was
used as the measure planning – separate scores were available for verbal and non-verbal sorts.
The ‘Design fluency’ task required participants to generate as many different patterns as possible. The child was asked to
draw as many different designs as possible in 1 min, each in a different box, by connecting dots using four straight lines (with
no line drawn in isolation). The total number of different patterns created for two different sets of dots was used as the design
fluency measure.
In the ‘Verbal fluency’ task, the instructions were to generate as many words as possible in 1 min. All words should start
with a certain letter in the letter fluency task. All words should belong to a certain category in the category fluency task. For
both tasks, the measure used was total number of correct responses.
To assess verbal switching, the ‘category fluency switching task’ from the Delis–Kaplan Battery was used. The task
required children to generate category exemplars from two different categories alternately – hence requiring shifting
between each category. Scores represented the total number of correct answers from both categories in 1 min.
Finally, the ID/ED task from the CANTAB (Cambridge Cognition, 2006) was used to assess non-verbal switching. The task
required the participant to choose one of two figures on a computer screen; each figure contained both relevant and
irrelevant features with respect to the choice to be made and the figures became more complex as the task went on (features
included shapes, lines, and colours). The only guidance as to which features were important for the correct choices came
from feedback after each response was given via the touch screen (i.e. whether the choice had been correct or incorrect).
Once a participant had made a series of correct choices, the choice ‘criteria’ were altered and the participant was required to
use the correct/incorrect feedback to switch strategy with respect to the features used to make his or her choices. Total
number of errors made was scored.",0.68,"10",-1,"shifting",-0.283002211686115,0.0918192074070367
