id,title,year,study.num,assumed,file.drawer,data.source,prop.women,video.know,dim.v.dis,dim.pos.v.neg,emo,dur.manip,paq,ini.v.mod,stim,proc,proc.control,proc.aware,w.v.b,es.calc.method,b.treat,b.treat.n,b.treat.m,b.treat.sd,b.treat.se,b.compa,b.compa.n,b.compa.m,b.compa.sd,b.compa.se,b.tval,b.fval,b.pval.df,b.pval,w.n,w.treat,w.treat.m,w.treat.sd,w.treat.se,w.compa,w.compa.m,w.compa.sd,w.compa.se,w.tval,w.pval.df,w.pval,w.fval,es.dir.fpval,es,es.var,se
1,An exploration of the relationship between emotional and cognitive control,2013,1,no,yes,dissertation,0.569620253,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,Look at negative images,4.41,0.977701386,0.11,Suppress feelings towards negative images,4.39,0.977701386,0.11,NA,NA,NA,NA,NA,0.020456144,0.012660876,0.112520559
2,"Antecedent- and response-focused emotion regulation: Divergent consequences for experience, expression, and physiology.",1998,1,no,no,peer-reviewed,1,yes,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,between,tval,Watch,40,NA,NA,NA,Suppressors,40,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178885438,0.0502,0.224053565
3,Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.,2014,1,no,no,peer-reviewed,0.566473988,no,NA,NA,NA,yes,yes,NA,pictures,incidental-control,yes,no,between,mean,teeth (low TMMS),17,6.9,1.58,NA,control (low TMMS),53,5.14,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.019004713,0.085108387,0.291733417
3,Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.,2014,1,no,no,peer-reviewed,0.566473988,no,NA,NA,NA,yes,yes,NA,pictures,incidental-control,yes,no,between,mean,teeth (high TMMS),25,5.92,1.64,NA,control (high TMMS),34,5.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074213214,0.069458439,0.26354969
3,Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.,2014,1,no,no,peer-reviewed,0.566473988,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,mean,teeth (low TMMS),17,6.9,1.58,NA,lips (low TMMS),18,5.22,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.073745003,0.13084949,0.36173124
3,Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.,2014,1,no,no,peer-reviewed,0.566473988,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,mean,teeth (high TMMS),25,5.92,1.64,NA,lips (high TMMS),26,5.57,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201825338,0.078860886,0.280821805
4,Botulinum toxin cosmetic therapy correlates with a more positive mood.,2009,1,no,no,peer-reviewed,1,no,dimensional,negative,NA,yes,no,modulate,NA,Botox-control,yes,NA,between,tval,Botox,12,NA,NA,NA,non-Botox,13,NA,NA,NA,3.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35388354,0.196916423,0.44375266
5,Cardiovascular costs of emotion suppression cross ethnic lines,2008,1,no,no,peer-reviewed,0.6,no,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,between,mean,No suppression,79,5.3,2.8,0.315024612,Suppression,81,5.1,2.8,0.311111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071428571,0.025019851,0.158176644
6,Cardiovascular responses of embarrassment and effects of emotional suppression in a social setting.,2001,2,no,no,peer-reviewed,0.583333333,yes,discrete,NA,NA,no,no,modulate,social context,suppress-control,yes,yes,between,mean,No instruction,18,6.6,1.4,0.07,Suppression,18,6.5,1.6,0.377123617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066519011,0.111172566,0.333425503
7,Can college students use emotion regulation strategies to alter intimate partner aggression-risk behaviors? An examination using I³ theory,2015,1,no,yes,peer-reviewed,0.584745763,NA,discrete,NA,anger,no,no,modulate,stories,suppress-control,yes,yes,between,tval,No instructions,78.66666667,NA,NA,NA,Suppression,78.66666667,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124369597,0.025472885,0.159602271
8,Children's ability to control the facial expression of laughter and smiling: Knowledge and behaviour,2003,1,no,no,peer-reviewed,0.515625,no,NA,NA,NA,NA,yes,NA,social context,suppress-control,yes,yes,between,mean,Free expression Participants,32,3.7,0.32,NA,Suppressors,32,3.33,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740518545,0.066784123,0.258426242
9,Composure at Any Cost? The Cognitive Consequences of Emotion Suppression,1999,1,no,no,peer-reviewed,1,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,between,mean,No suppression (first set),29,0.78,0.83,NA,Suppression (first set),29,0.86,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.099330993,0.069050575,0.26277476
9,Composure at Any Cost? The Cognitive Consequences of Emotion Suppression,1999,1,no,no,peer-reviewed,1,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,between,mean,No suppression (second set),29,3.29,1.02,NA,Suppression (second set),29,3.02,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254535817,0.069524039,0.263674114
9,Composure at Any Cost? The Cognitive Consequences of Emotion Suppression,1999,1,no,no,peer-reviewed,1,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,between,mean,No suppression (third set),29,0.93,0.84,NA,Suppression (third set),29,0.67,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362213262,0.070096538,0.264757509
10,Composure at Any Cost? The Cognitive Consequences of Emotion Suppression,1999,2,no,no,peer-reviewed,1,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,between,mean,No suppression,44,0.55,0.57,NA,Suppression,41,0.47,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133407693,0.047222208,0.217306715
10,Composure at Any Cost? The Cognitive Consequences of Emotion Suppression,1999,2,no,no,peer-reviewed,1,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,between,mean,No suppression,44,2.38,1.14,NA,Suppression,41,2.07,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244738762,0.047469852,0.217875773
10,Composure at Any Cost? The Cognitive Consequences of Emotion Suppression,1999,2,no,no,peer-reviewed,1,NA,dimensional,negative,NA,no,no,modulate,pictures,suppress-control,yes,yes,between,mean,No suppression,44,0.6,0.68,NA,Suppression,41,0.56,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060086137,0.047138754,0.21711461
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,discrete,NA,disgust,NA,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Exaggerate; repulsive,3.281,1.888,NA,Spontaneous (control); repulsive,2.969,1.875,NA,NA,NA,NA,NA,NA,0.165822171,0.031679641,0.177987754
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,discrete,NA,happiness,NA,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Exaggerate; funny,4.156,1.462,NA,Spontaneous (control); funny,3.344,1.658,NA,NA,NA,NA,NA,NA,0.517458672,0.035433804,0.18823869
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,NA,NA,NA,NA,yes,NA,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Exaggerate; repulsive,3.196886914,2.397293221,0.423785573,Spontaneous (control); repulsive,3.031054262,1.951307571,0.344945704,NA,NA,NA,NA,NA,0.07509385,0.031338111,0.177025735
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,NA,NA,NA,NA,yes,NA,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Exaggerate; funny,4.46,1.573634,0.278181818,Spontaneous (control); funny,4.061818182,1.450211726,0.256363636,NA,NA,NA,NA,NA,0.262705527,0.032328347,0.179800853
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,discrete,NA,disgust,NA,no,initiate,NA,exp.pose-exp.pose,no,NA,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Disgusted Expression (disgust report),0.938,1.544,NA,Amused Expression (disgust report),0.094,0.53,NA,NA,NA,NA,NA,NA,0.621106264,0.037277703,0.193074346
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,discrete,NA,happiness,NA,no,initiate,NA,exp.pose-exp.pose,no,NA,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Amused Expression (happiness report),1.469,1.545,NA,Disgusted Expression (happiness report),0.438,1.134,NA,NA,NA,NA,NA,NA,0.743875957,0.039896116,0.199740122
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,discrete,NA,disgust,NA,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Spontaneous (control); repulsive,2.969,1.875,NA,Inhibit; repulsive,2.656,1.578,NA,NA,NA,NA,NA,NA,0.179312693,0.031752391,0.178192007
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,discrete,NA,happiness,NA,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Spontaneous (control); funny,3.344,1.658,NA,Inhibit; funny,2.656,1.599,NA,NA,NA,NA,NA,NA,0.422266873,0.034036083,0.184488707
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,NA,NA,NA,NA,yes,NA,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Spontaneous (control); repulsive,3.031054262,1.951307571,0.344945704,Inhibit; repulsive,2.567818968,1.352279135,0.239051437,NA,NA,NA,NA,NA,0.267558405,0.032368555,0.179912631
11,Control of emotion,1989,1,no,yes,dissertation,0.4375,no,NA,NA,NA,NA,yes,NA,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Spontaneous (control); funny,4.061818182,1.450211726,0.256363636,Inhibit; funny,3.930909091,1.265078314,0.223636364,NA,NA,NA,NA,NA,0.095758228,0.031393276,0.177181476
12,Cross-modality consistencies in individual differences in self-attribution.,1977,1,no,no,peer-reviewed,0.575,yes,discrete,NA,anger,no,no,initiate,NA,exp.pose-control,yes,yes,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Frown,NA,NA,NA,Neutral,NA,NA,NA,2.43,NA,NA,NA,NA,0.436440884,0.035330333,0.187963648
