"","ID","Effect_ID","Author","PubYear","PubYear_cent","PubType","PeerReview","N","Effect_Info","yi","vi","Effect_Page","AdaptMeasures","AdaptMethod","AdaptMethod_Specific","SubjAdapt_Definition","SubjAdapt_Definition_num","GoMeasure","GoMeasure_dichot","GoMeasure_dichot_num","FinancSupport","Age","AgeInfo","Age_imputed","Age_imputed_cent","Sex","Men_Prop","Country","Country_dichot","Country_dichot_num","Sample","Sample_dichot","Level","Duration","Task_type","Complexity_component","Complexity_coordinative","Complexity_dynamic","Task_Tandem","Task_SimScen","Comments"
"1",1,1,"Bell",2008,-4.05263157894728,1,1,350,"Trait MasterOr and AP",0.14,0.00275410934097421,307,"3",2,3,"",,"VandeWalle","VandeWalle",2,1,,"89.4% between 18 and 21",21,-7.79296296296296,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"2",1,2,"Bell",2008,-4.05263157894728,1,1,350,"State MasterOr and AP",0.09,0.00281909916905444,307,"3",2,3,"",,"Horvath","Other",1,1,,"89.4% between 18 and 21",21,-7.79296296296296,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"3",2,3,"Kozlowski",2001,-11.0526315789473,1,1,60,"LO and AP",0.243,0.0150065895661186,17,"3",2,3,"",,"Button","Other",1,0,,"",,,,,"USA","USA",2,1,1,1,"300","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"4",3.1,4,"Beuing",2009,-3.05263157894728,8,0,225,"LO and AP(task oriented)",0.61,0.0017600821875,39,"1",1,1,"narrow",0,"VandeWalle","VandeWalle",2,0,33.3,"between 20 and 61, SD = 9.5",33.3,4.50703703703703,3,48,"Germany","Other",1,2,2,1,"",,,,,,,"diverging effect sizes (p. 17 vs p. 39), smaller value was chosen"
"5",3.1,5,"Beuing",2009,-3.05263157894728,8,0,225,"LO and AP(social)",0.31,0.00364747861607143,39,"1",1,1,"narrow",0,"VandeWalle","VandeWalle",2,0,33.3,"between 20 and 61, SD = 9.5",33.3,4.50703703703703,3,48,"Germany","Other",1,2,2,1,"",,,,,,,""
"6",3.2,6,"Beuing",2009,-3.05263157894728,8,0,207,"LO and AP(task oriented)",0.55,0.00236168082524272,42,"1",1,1,"narrow",0,"VandeWalle","VandeWalle",2,0,22.1,"between 16 and 45, SD = 4.3",22.1,-6.69296296296296,3,23.3,"Germany","Other",1,1,1,1,"",,,,,,,""
"7",3.2,7,"Beuing",2009,-3.05263157894728,8,0,207,"LO and AP(social)",0.43,0.00322518451456311,42,"1",1,1,"narrow",0,"VandeWalle","VandeWalle",2,0,22.1,"between 16 and 45, SD = 4.3",22.1,-6.69296296296296,3,23.3,"Germany","Other",1,1,1,1,"",,,,,,,""
"8",4,9,"LePine",2005,-7.05263157894728,1,1,64,"LO and AP (""Postchange decision-making performance)",0.13,0.0153410414285714,1159,"3",2,3,"",,"Button","Other",1,1,21,"",21,-7.79296296296296,3,50,"USA","USA",2,1,1,2,"180","TIDE2 (decision-making simulation with aircrafts)",1,1,"2","Other","Simulation or Scenario","Role structure adaptation as AP?     N=64 (=Teams consisting of 3 people --> 192)   Sex and Proportion of men ""approximately"""
"9",4,8,"LePine",2005,-7.05263157894728,1,1,64,"LO and AP (""number of adapted trials"")",0.31,0.0129688128571429,1159,"3",2,3,"",,"Button","Other",1,1,21,"",21,-7.79296296296296,3,50,"USA","USA",2,1,1,2,"180","TIDE2 (decision-making simulation with aircrafts)",1,1,"2","Other","Simulation or Scenario","Role structure adaptation as AP?     N=64 (=Teams consisting of 3 people --> 192)   Sex and Proportion of men ""approximately"""
"10",5,10,"Bell",2002,-10.0526315789473,1,1,125,"LGO and AP",0.16,0.00765689806451613,502,"3",2,3,"",,"Button","Other",1,1,,"88.8% between 18 and 21",21,-7.79296296296296,3,42,"USA","USA",2,1,1,1,"180+20(follow up)","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"11",6,13,"Ahearne",2010,-2.05263157894728,1,1,400,"LO and AP (3. month)",0.043,0.00249700606215789,70,"3",2,3,"",,"Sujan","Other",1,0,30,"(Median)",30,1.20703703703704,3,48,"USA","USA",2,2,2,1,"12 months","Sales performance (before and after changing the contact management system)",1,1,"3","Other","Other","Proportion of men ""approximately"""
"12",6,12,"Ahearne",2010,-2.05263157894728,1,1,400,"LO and AP (2. month)",0.094,0.00246217061377444,70,"3",2,3,"",,"Sujan","Other",1,0,30,"(Median)",30,1.20703703703704,3,48,"USA","USA",2,2,2,1,"12 months","Sales performance (before and after changing the contact management system)",1,1,"3","Other","Other","Proportion of men ""approximately"""
"13",6,16,"Ahearne",2010,-2.05263157894728,1,1,400,"LO and AP (6. month)",0.077,0.00247663446877444,70,"3",2,3,"",,"Sujan","Other",1,0,30,"(Median)",30,1.20703703703704,3,48,"USA","USA",2,2,2,1,"12 months","Sales performance (before and after changing the contact management system)",1,1,"3","Other","Other","Proportion of men ""approximately"""
"14",6,14,"Ahearne",2010,-2.05263157894728,1,1,400,"LO and AP (4. month)",0.046,0.00249567036956391,70,"3",2,3,"",,"Sujan","Other",1,0,30,"(Median)",30,1.20703703703704,3,48,"USA","USA",2,2,2,1,"12 months","Sales performance (before and after changing the contact management system)",1,1,"3","Other","Other","Proportion of men ""approximately"""
"15",6,11,"Ahearne",2010,-2.05263157894728,1,1,400,"LO and AP (1. month)",0.052,0.00249273010430075,70,"3",2,3,"",,"Sujan","Other",1,0,30,"(Median)",30,1.20703703703704,3,48,"USA","USA",2,2,2,1,"12 months","Sales performance (before and after changing the contact management system)",1,1,"3","Other","Other","Proportion of men ""approximately"""
"16",6,15,"Ahearne",2010,-2.05263157894728,1,1,400,"LO and AP (5. month)",0.072,0.00248034805477694,70,"3",2,3,"",,"Sujan","Other",1,0,30,"(Median)",30,1.20703703703704,3,48,"USA","USA",2,2,2,1,"12 months","Sales performance (before and after changing the contact management system)",1,1,"3","Other","Other","Proportion of men ""approximately"""
"17",7,17,"Marques-Quinteiro",2012,-0.0526315789472847,1,1,108,"LO and AP",0.33,0.00742111411214953,568,"1",1,1,"narrow",0,"Button","Other",1,0,38,"SD = 9.8",38,9.20703703703704,3,53,"International companies","Other",1,2,2,1,"",,,,,,,""
"18",8,19,"Porter",2010,-2.05263157894728,1,1,137,"LO and AP (2)",0.31,0.00600761183823529,940,"3",2,3,"",,"Button","Other",1,1,,"",,,,,"USA","USA",2,1,1,2,"180","DDD (radar-tracking simulation)",1,1,"2","Other","Simulation or Scenario","N = 137 (=Teams consisting of 4 people --> 548)"
"19",8,18,"Porter",2010,-2.05263157894728,1,1,137,"LO and AP (1)",0.23,0.00659557654411765,940,"3",2,3,"",,"Button","Other",1,1,,"",,,,,"USA","USA",2,1,1,2,"180","DDD (radar-tracking simulation)",1,1,"2","Other","Simulation or Scenario","N = 137 (=Teams consisting of 4 people --> 548)"
"20",9,20,"Jundt",2009,-3.05263157894728,3,0,283,"LO and AP",0.14,0.00340845446808511,141,"3",2,3,"",,"VandeWalle","VandeWalle",2,0,19.6,"between 18 and 30",19.6,-9.19296296296296,3,45.2,"USA","USA",2,1,1,1,"180","TANDEM (radar-tracking simulation)",1,1,"1 or 2 depending on the condition","TANDEM","Simulation or Scenario","Orginally N = 378  ---> 283"
"21",10,21,"Upchurch",2013,0.947368421052715,4,0,185,"LGO and AP (subjective)",0.13,0.00525263918478261,28,"4(1+3)",1,1,"broad",1,"VandeWalle (adjusted to the task)","VandeWalle",2,0,19.18,"SD = 1.20",19.18,-9.61296296296296,3,47.57,"USA","USA",2,1,1,1,"300",,,,,,,""
"22",10,22,"Upchurch",2013,0.947368421052715,4,0,185,"LGO and AP (objective 3 Session performance)",0.13,0.00525263918478261,28,"4(1+3)",2,3,"",,"VandeWalle (adjusted to the task)","VandeWalle",2,0,19.18,"SD = 1.20",19.18,-9.61296296296296,3,47.57,"USA","USA",2,1,1,1,"300","Steel Beasts Pro PE (battle tank simulation)",1,1,"2","Other","Simulation or Scenario",""
"23",11,23,"Arthur",2007,-5.05263157894728,7,1,192,"LO and AP",0.04,0.00521886157068063,54,"3",2,3,"",,"Elliot & Church","Other",1,1,20.94,"SD = 3.67",20.94,-7.85296296296296,3,78,"USA","USA",2,1,1,1,"","Jane's Fleet Command (warfare simulation)",1,1,"3","Other","Simulation or Scenario",""
"24",12,24,"Hardy",2014,1.94736842105272,1,1,120,"LO and AP",-0.03,0.00838824210084033,62,"3",2,3,"",,"VandeWalle","VandeWalle",2,0,19.33,"SD = 1.77",19.33,-9.46296296296297,2,100,"USA","USA",2,1,1,1,"","Unreal Tournament 2004 (video game)",1,1,"3","Other","Simulation or Scenario",""
"25",13,26,"Heimbeck",2003,-9.05263157894728,1,1,87,"LGO and AP (difficult)",0.13,0.0112382047674419,346,"3",2,3,"",,"VandeWalle","VandeWalle",2,0,23.55,"SD = 3.89, between 19 and 37",23.55,-5.24296296296296,3,20,"Germany","Other",1,1,1,1,"45","Excel (spreadsheet program)",1,1,"3","Other","Other",""
"26",13,25,"Heimbeck",2003,-9.05263157894728,1,1,87,"LGO and AP (medium)",0.17,0.0109655256976744,346,"3",2,3,"",,"VandeWalle","VandeWalle",2,0,23.55,"SD = 3.89, between 19 and 37",23.55,-5.24296296296296,3,20,"Germany","Other",1,1,1,1,"45","Excel (spreadsheet program)",1,1,"3","Other","Other",""
"27",14,27,"Davis",2013,0.947368421052715,1,1,231,"LGO and AP",0.5,0.00244565217391304,223,"1",1,1,"broad",1,"VandeWalle","VandeWalle",2,0,53,"between 22 and 79",53,24.207037037037,3,63,"International?","Other",1,2,2,1,"",,,,,,,""
"28",15,28,"Zaccaro",2009,-3.05263157894728,7,1,120,"LGO and AP",-0.01,0.00840168075630252,56,"2",1,2,"narrow",0,"VandeWalle","VandeWalle",2,1,,"",,,3,46.67,"International?","Other",1,3,2,1,"",,,,,,,"Investigation 6"
"29",16,29,"Itani",2017,4.94736842105272,1,1,120,"LGO and AP",-0.02,0.00839664,9,"1",1,1,"broad",1,"Kohli","Other",1,0,28.5,"",28.5,-0.292962962962964,3,86,"India","Other",1,2,2,1,"",,,,,,,""
"30",17,30,"Trinh",2016,3.94736842105272,3,0,57,"LGO and AP (self-report)",0.55,0.00868761160714286,62,"4(1+2)",1,1,"narrow",0,"Button","Other",1,0,47.47,"SD = 11.63",47.47,18.677037037037,3,26,"USA","USA",2,2,2,1,"",,,,,,,"Study 3"
"31",17,31,"Trinh",2016,3.94736842105272,3,0,57,"LGO and AP (perceived adaptability)",0.04,0.0178000457142857,62,"4(1+2)",1,2,"narrow",0,"Button","Other",1,0,47.47,"SD = 11.63",47.47,18.677037037037,3,26,"USA","USA",2,2,2,1,"",,,,,,,"Study 3"
"32",18,32,"Hardy",2015,2.94736842105272,3,0,305,"LGO and AP(transfer performance)",0.01,0.00328881582236842,77,"3",2,3,"",,"VandeWalle","VandeWalle",2,0,19.49,"SD = 2.23, between 18 and 38",19.49,-9.30296296296297,2,100,"USA","USA",2,1,1,1,"180, of which 6 AP","Unreal Tournament 2004 (video game)",1,1,"3","Other","Simulation or Scenario",""
"33",19,35,"de Boer",2017,4.94736842105272,4,0,81,"LGO and AP (Cultural adaptability)",0.33,0.009925740125,20,"1",1,1,"broad",1,"Button","Other",1,0,20.69,"SD = 2.23, between 16 and 29",20.69,-8.10296296296296,3,30.86,"Holland","Other",1,1,1,1,"330",,,,,,,""
"34",19,36,"de Boer",2017,4.94736842105272,4,0,81,"LGO and AP (Physical adaptability)",0.19,0.011613790125,20,"1",1,1,"broad",1,"Button","Other",1,0,20.69,"SD = 2.23, between 16 and 29",20.69,-8.10296296296296,3,30.86,"Holland","Other",1,1,1,1,"330",,,,,,,""
"35",19,37,"de Boer",2017,4.94736842105272,4,0,81,"LGO and AP (Stress adaptability)",0.39,0.008986680125,20,"1",1,1,"broad",1,"Button","Other",1,0,20.69,"SD = 2.23, between 16 and 29",20.69,-8.10296296296296,3,30.86,"Holland","Other",1,1,1,1,"330",,,,,,,""
"36",19,38,"de Boer",2017,4.94736842105272,4,0,81,"LGO and AP (Interpersonal adaptability)",0.35,0.009625078125,20,"1",1,1,"broad",1,"Button","Other",1,0,20.69,"SD = 2.23, between 16 and 29",20.69,-8.10296296296296,3,30.86,"Holland","Other",1,1,1,1,"330",,,,,,,""
"37",19,33,"de Boer",2017,4.94736842105272,4,0,81,"LGO and AP (Crisis adaptability)",0.3,0.01035125,20,"1",1,1,"broad",1,"Button","Other",1,0,20.69,"SD = 2.23, between 16 and 29",20.69,-8.10296296296296,3,30.86,"Holland","Other",1,1,1,1,"330",,,,,,,""
"38",19,34,"de Boer",2017,4.94736842105272,4,0,81,"LGO and AP (Creative problem solving)",0.32,0.010071072,20,"1",1,1,"broad",1,"Button","Other",1,0,20.69,"SD = 2.23, between 16 and 29",20.69,-8.10296296296296,3,30.86,"Holland","Other",1,1,1,1,"330",,,,,,,""
"39",20,39,"Holcombe",2016,3.94736842105272,3,0,120,"LGO and AP",0.12,0.00816308705882353,73,"2",1,2,"narrow",0,"VandeWalle","VandeWalle",2,0,39.91,"SD = 13.68",39.91,11.117037037037,3,41.5,"USA","USA",2,2,2,1,"",,,,,,,""
"40",21,40,"Webb",2016,3.94736842105272,4,0,238,"LGO and AP",-0.06,0.00418908421940928,59,"3",2,3,"",,"VandeWalle","VandeWalle",2,0,19.49,"SD = 1.50",19.49,-9.30296296296297,3,36.6,"USA","USA",2,1,1,1,"120","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario","State goal orientation was aso assessed but the results are not reported"
"41",22,41,"de Jonge",2017,4.94736842105272,4,0,22,"LGO and AP",-0.11,0.0464736385714286,25,"2",1,2,"broad",1,"Button","Other",1,0,,"",,,2,100,"Holland","Other",1,3,2,1,"",,,,,,,""
"42",23,43,"Kozlowski",2006,-6.05263157894728,1,1,542,"LGO and AP (strategic performance)",0.06,0.00183514410351201,909,"3",2,3,"",,"VandeWalle","VandeWalle",2,1,,"87% between 18 and 21",21,-7.79296296296296,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario","diverging sample sizes (abstract = 524 vs main text = 542)"
"43",23,42,"Kozlowski",2006,-6.05263157894728,1,1,542,"LGO and AP (basic performance)",0.01,0.00184805916820702,909,"3",2,3,"",,"VandeWalle","VandeWalle",2,1,,"87% between 18 and 21",21,-7.79296296296296,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario","diverging sample sizes (abstract = 524 vs main text = 542)"
"44",24,45,"Rench",2014,1.94736842105272,3,0,62,"LGO and AP (Cultural adaptability)",0.37,0.0122121575409836,184,"1",1,1,"broad",1,"VandeWalle","VandeWalle",2,0,,"13% (n = 8) under 25; 40% (n = 25) between 25-34; 19% (n
= 12) between 35-44; 18% (n = 11) between 45-54; and 10% (n = 6) 55 and over.",40.43,11.637037037037,3,64,"USA","USA",2,2,2,1,"17 days (AP < 15)",,,,,,,""
"45",24,48,"Rench",2014,1.94736842105272,3,0,62,"LGO and AP(Physical adaptability)",0.41,0.0113452067213115,184,"1",1,1,"broad",1,"VandeWalle","VandeWalle",2,0,,"13% (n = 8) under 25; 40% (n = 25) between 25-34; 19% (n
= 12) between 35-44; 18% (n = 11) between 45-54; and 10% (n = 6) 55 and over.",40.43,11.637037037037,3,64,"USA","USA",2,2,2,1,"17 days (AP < 15)",,,,,,,""
"46",24,49,"Rench",2014,1.94736842105272,3,0,62,"LGO and AP (Interpersonal adaptability)",0.49,0.00946636081967213,184,"1",1,1,"broad",1,"VandeWalle","VandeWalle",2,0,,"13% (n = 8) under 25; 40% (n = 25) between 25-34; 19% (n
= 12) between 35-44; 18% (n = 11) between 45-54; and 10% (n = 6) 55 and over.",40.43,11.637037037037,3,64,"USA","USA",2,2,2,1,"17 days (AP < 15)",,,,,,,""
"47",24,50,"Rench",2014,1.94736842105272,3,0,62,"LGO and AP (Work stress adaptability)",0.37,0.0122121575409836,184,"1",1,1,"broad",1,"VandeWalle","VandeWalle",2,0,,"13% (n = 8) under 25; 40% (n = 25) between 25-34; 19% (n
= 12) between 35-44; 18% (n = 11) between 45-54; and 10% (n = 6) 55 and over.",40.43,11.637037037037,3,64,"USA","USA",2,2,2,1,"17 days (AP < 15)",,,,,,,""
