"","ID","Effect_ID","Author","PubYear","PubYear_cent","PubYear_avoid_cent","PubType","PeerReview","N","Effect_Info","PgoType","yi","vi","Effect_Page","AdaptMeasures","AdaptMethod","AdaptMethod_Specific","GoMeasure","GoMeasure_dichot","GoMeasure_dichot_num","FinancSupport","Age","AgeInfo","Age_imputed","Age_imputed_cent","Age_imputed_avoid_cent","Sex","Men_Prop","Country","Country_dichot","Country_dichot_num","Sample","Sample_dichot","Level","Duration","PGO_plot","Task_type","Complexity_component","Complexity_coordinative","Complexity_dynamic","Task_Tandem","Task_SimScen","Comments"
"1",1,1,"Bell",2008,-2.87209302325573,-0.916666666666742,1,1,350,"Trait AvoidOr and AP","Avoid",-0.13,0.00276929974212034,307,"3",2,3,"VandeWalle","VandeWalle",2,1,,"89.4% between 18 and 21",21,-8.08905405405405,-8.76074074074074,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","Avoid","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"2",1,2,"Bell",2008,-2.87209302325573,-0.916666666666742,1,1,350,"State AvoidOr and AP","Avoid",-0.04,0.00285616779369627,307,"3",2,3,"Horvath","Other",1,1,,"89.4% between 18 and 21",21,-8.08905405405405,-8.76074074074074,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","Avoid","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"3",1,13,"Bell",2008,-2.87209302325573,,1,1,350,"Trait ProveOr and AP","Prove",0.09,0.00281909916905444,307,"3",2,3,"VandeWalle","VandeWalle",2,1,,"89.4% between 18 and 21",21,-8.08905405405405,,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","Prove","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"4",1,14,"Bell",2008,-2.87209302325573,,1,1,350,"State ProveOr and AP","Prove",0.12,0.00278340217765043,307,"3",2,3,"Horvath","Other",1,1,,"89.4% between 18 and 21",21,-8.08905405405405,,3,42,"USA","USA",2,1,1,1,"180, of which 10 AP","Prove","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"5",2,15,"Kozlowski",2001,-9.87209302325573,,1,1,60,"PO and AP","Global",0.253,0.0148487991878136,17,"3",2,3,"Button","Other",1,0,,"",,,,,,"USA","USA",2,1,1,1,"300","Global","TANDEM (radar-tracking simulation)",1,1,"3","TANDEM","Simulation or Scenario",""
"6",3.1,3,"Beuing",2009,-1.87209302325573,0.083333333333258,8,0,225,"AGO and AP(task oriented)","Avoid",-0.44,0.00290304,39,"1",1,1,"VandeWalle","VandeWalle",2,0,33.3,"between 20 and 61, SD = 9.5",33.3,4.21094594594594,3.53925925925926,3,48,"Germany","Other",1,2,2,1,"","Avoid",,,,,,,""
"7",3.1,4,"Beuing",2009,-1.87209302325573,0.083333333333258,8,0,225,"AGO and AP(social)","Avoid",-0.25,0.00392368861607143,39,"1",1,1,"VandeWalle","VandeWalle",2,0,33.3,"between 20 and 61, SD = 9.5",33.3,4.21094594594594,3.53925925925926,3,48,"Germany","Other",1,2,2,1,"","Avoid",,,,,,,""
"8",3.1,16,"Beuing",2009,-1.87209302325573,,8,0,225,"PGO and AP(task oriented)","Prove",0.17,0.00420997861607143,39,"1",1,1,"VandeWalle","VandeWalle",2,0,33.3,"between 20 and 61, SD = 9.5",33.3,4.21094594594594,,3,48,"Germany","Other",1,2,2,1,"","Prove",,,,,,,""
"9",3.1,17,"Beuing",2009,-1.87209302325573,,8,0,225,"PGO and AP(social)","Prove",0.09,0.0043922571875,39,"1",1,1,"VandeWalle","VandeWalle",2,0,33.3,"between 20 and 61, SD = 9.5",33.3,4.21094594594594,,3,48,"Germany","Other",1,2,2,1,"","Prove",,,,,,,""
"10",3.2,5,"Beuing",2009,-1.87209302325573,0.083333333333258,8,0,207,"AGO and AP(task oriented)","Avoid",-0.46,0.00301735223300971,42,"1",1,1,"VandeWalle","VandeWalle",2,0,22.1,"between 16 and 45, SD = 4.3",22.1,-6.98905405405405,-7.66074074074074,3,23.3,"Germany","Other",1,1,1,1,"","Avoid",,,,,,,""
"11",3.2,6,"Beuing",2009,-1.87209302325573,0.083333333333258,8,0,207,"AGO and AP(social)","Avoid",-0.31,0.00396619033980583,42,"1",1,1,"VandeWalle","VandeWalle",2,0,22.1,"between 16 and 45, SD = 4.3",22.1,-6.98905405405405,-7.66074074074074,3,23.3,"Germany","Other",1,1,1,1,"","Avoid",,,,,,,""
"12",3.2,18,"Beuing",2009,-1.87209302325573,,8,0,207,"PGO and AP(task oriented)","Prove",-0.04,0.00483884737864078,42,"1",1,1,"VandeWalle","VandeWalle",2,0,22.1,"between 16 and 45, SD = 4.3",22.1,-6.98905405405405,,3,23.3,"Germany","Other",1,1,1,1,"","Prove",,,,,,,""
"13",3.2,19,"Beuing",2009,-1.87209302325573,,8,0,207,"PGO and AP(social)","Prove",0.08,0.00479243184466019,42,"1",1,1,"VandeWalle","VandeWalle",2,0,22.1,"between 16 and 45, SD = 4.3",22.1,-6.98905405405405,,3,23.3,"Germany","Other",1,1,1,1,"","Prove",,,,,,,""
