,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
1,"Aguirre, 2014","Aguirre, C., Gómez-Ariza, C. J., Bajo, M., Andrés, P., & Mazzoni, G. (2014). Selective voluntary forgetting in young and older adults. Psychology and Aging, 29(1), 128.",48,48,20.5,68.31,updating,no,Voluntary Forgetting Task,Participants were given two lists of sentences and were told to either remember or forget some of the information in the first list. Then participants were instructed to write down the sentences they were told to remember from each list.,Number of correctly recalled sentences,no,0.870862315,2.285219304,1.511694183
2,"Balouch, 2013","Balouch, S., & Rusted, J. M. (2013). Age-related changes in error monitoring of an everyday task. Journal of the International Neuropsychological Society, 19(7), 763-772.",28,29,24.64,67.86,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",TMT Ratio (TMT-B/TMT-A),no,-0.25783372,0.071895721,0.268133775
3,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.534971769,0.980392349,0.99014764
4,,,,,,,updating,no,Tea Task,"Participants make tea for 2 people as quickly as possible without making errors, however participants were told to say something during the task if they thought they made an error.",Number errors of comission and omission,no,0.396355112,0.113988532,0.337621878
5,"Barulli, 2013","Barulli, D. J., Rakitin, B. C., Lemaire, P., & Stern, Y. (2013). The influence of cognitive reserve on strategy selection in normal aging. Journal of the International Neuropsychological Society, 19(7), 841-844.",20,18,24.7,68.2,shifting,no,Shifting Task,Participants estimated product of two numbers out loud by using a practiced rounding strategy.,RT problem type: rounding up best with down strategy in milliseconds,no,2.725806611,34501.95655,185.747023
6,"Bernard, 2013","Bernard, J. A., & Seidler, R. D. (2013). Relationships between regional cerebellar volume and sensorimotor and cognitive function in young and older adults. The Cerebellum, 12(5), 721-737.",10,16,21.7,61.9,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT Trails B - Trails A in milliseconds,no,1.2530391,1.939528395,1.392669521
7,,,,,,,updating,no,Sternberg Task,Participants indicated whether or not a single letter was presented at the beginning of a trial.,RT on correct trials in milliseconds,no,2.000934902,82.37022144,9.075804176
8,,,,,,,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,0.671038217,412.2254792,20.30333665
9,"Brand, 2013","Brand, M., & Schiebener, J. (2013). Interactions of age and cognitive functions in predicting decision making under risky conditions over the life span. Journal of clinical and experimental neuropsychology, 35(1), 9-23.",251,46,24.55,70.35,updating,no,Dice Task,Participants guessed what number would be rolled on a dice using varying levels of risk.,The number of high risk choices (one single number or two number guess) minus the number of low risk choices (three or four number guess),no,0.428281702,0.162786155,0.403467664
10,,,,,,,shifting,yes,Modified WCST,"A shortened form of the Wisconsin Card Sorting Task, in which participants must sort cards based on rules learned while completing the task.",Number of categories,no,0.78242828,0.053866526,0.232091633
11,,,,,,,updating,no,Iowa Gambling Task,Participants were instructed to select one of the four card decks in each trial. Two of the decks (A and B) result in either high gains or high losses and the other two decks (C and D) result in low gains or low losses.,Net score of subtracting number of disadvantageous choices (Decks A and B) from number of advantageous choices (Decks C and D).,no,0.765631129,2.447009551,1.564292029
12,"Bugg, 2014A","Bugg, J. M. (2014). Evidence for the sparing of reactive cognitive control with age. Psychology and Aging, 29(1), 115.",16,25,19.2,74.68,inhibition,yes,Stroop,Participants were given a picture of an animal paired with animal names. Participants were instructed to speak aloud the type of animal in the picture and not respond to the animal name (Picure-Word Stroop).,"RT  Training, Mostly congruent items, Incongruent trial type in milliseconds",no,1.957228274,272.1793808,16.49785989
13,"Bugg, 2014B","Bugg, J. M. (2014). Evidence for the sparing of reactive cognitive control with age. Psychology and Aging, 29(1), 115.",23,16,19.22,71.25,inhibition,yes,Stroop,"Flanker stimuli were either red or blue, and half of the stimuli appeared red and half appeared blue. The two colors were designated either mostly congruent or mostly incongruent, which was counterbalanced across participants. Participants responded to direction of central arrow by pressing the key that corresponded to the direction (Color).","RT Color, Mostly congruent items, Incongruent trial type in milliseconds",no,3.391032136,164.3656227,12.82051569
14,"Bugg, 2014C","Bugg, J. M. (2014). Evidence for the sparing of reactive cognitive control with age. Psychology and Aging, 29(1), 115.",25,17,19.2,70,inhibition,yes,Stroop,"Half of the stimuli appeared above fixation and half appeared below fixation. The two stimuli locations were designated either mostly congruent or mostly incongruent, which was counterbalanced across participants. Participants responded to direction of central arrow by pressing the key that corresponded to the direction (Location).","RT Location, Mostly congruent items, Incongruent trial type in milliseconds",no,3.409400809,163.5397698,12.78826688
15,"Cavallini, 2013","Cavallini, E., Lecce, S., Bottiroli, S., Palladino, P., & Pagnin, A. (2013). Beyond false belief: Theory of mind in young, young-old, and old-old adults. The International Journal of Aging and Human Development, 76(3), 181-198.",30,29,23.63,74.99,updating,no,Dual Task,"Participants read aloud words presented to them while pressing the space bar when presented with an animal word. At the end of each series, participants were asked to recall the last word of each list.",Number of correctly recalled words in the correct position,no,1.998403424,0.915732196,0.956938972
16,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible using a given lexical rule during a five minute period.,Number of words produced,no,1.783426363,1.013920143,1.006936017
17,"Circelli, 2013","Circelli, K. S., Clark, U. S., & Cronin-Golomb, A. (2013). Visual scanning patterns and executive function in relation to facial emotion recognition in aging. Aging, Neuropsychology, and Cognition, 20(2), 148-173.",16,16,19.2,68.9,inhibition,yes,Anti-saccade Task,Participants were instructed to look in the opposite direction of the target.,Percent correct antisaccades,no,1.077654893,1.261782095,1.123290744
18,"Cona, 2013","Cona, G., Arcara, G., Amodio, P., Schiff, S., & Bisiacchi, P. S. (2013). Does executive control really play a crucial role in explaining age-related cognitive and neural differences?. Neuropsychology, 27(3), 378.",17,16,25,67,inhibition,no,Go/No-Go Task,"Participants were instructed to press the spacebar when targets appeared on the screen (detect trials).Then, participants were instructed to press the space bar only when the targets were alternating (go trials) and not to respond when targets were repeated (no-go trials).","RT total (includes detect, go, and no-go trials) in milliseconds",no,1.787737395,28.99439155,5.38464405
