StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
6,1,1,Hoffman,2010,-0.380,70,-0.400059650,0.014925373,0.122169444,-999,2,1,5,2,1,-999,7,1,-999.00,3,3,0
6,1,2,Hoffman,2010,-0.420,70,-0.447692024,0.014925373,0.122169444,-999,2,1,5,2,1,-999,7,1,-999.00,3,3,0
19,2,3,Farquharson,2004,0.010,89,0.010000333,0.011627907,0.107832773,-999,-999,1,5,2,2,-999,1,1,-999.00,5,7,1
31,3,4,"Beasley, Long, & Natali",2001,-0.280,278,-0.287682072,0.003636364,0.060302269,-999,-999,1,3,2,2,6,-999,1,-999.00,2,-999,0
37,4,5,Novak & Tassell,2015,-0.440,30,-0.466047199,0.037037037,0.192450090,-999,-999,1,5,2,1,-999,3,1,-999.00,3,6,0
37,4,6,Novak & Tassell,2015,-0.600,30,-0.693147181,0.037037037,0.192450090,-999,-999,1,5,2,1,-999,3,1,-999.00,3,4,0
37,4,7,Novak & Tassell,2015,-0.690,30,-0.847955755,0.037037037,0.192450090,-999,-999,1,5,2,1,-999,3,1,-999.00,3,-999,0
47,5,8,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,-0.310,506,-0.320545409,0.001988072,0.044587796,-999,1,1,3,2,2,1,-999,1,-999.00,2,-999,0
47,5,9,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,-0.240,502,-0.244774113,0.002004008,0.044766148,-999,1,1,3,2,2,1,-999,1,-999.00,2,3,0
47,5,10,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,-0.300,493,-0.309519604,0.002040816,0.045175395,-999,1,1,3,2,2,1,-999,1,-999.00,2,3,0
47,5,11,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,-0.060,484,-0.060072156,0.002079002,0.045596075,-999,1,1,3,2,2,1,-999,1,-999.00,2,1,0
47,5,12,"Hart, Logan, Thompson, Kovas, McLoughlin, & Petrill",2016,-0.140,475,-0.140925576,0.002118644,0.046028731,-999,1,1,3,2,2,1,-999,1,-999.00,2,2,0
