"","study","pubyear","sno","mno","cntry","pubtype","manip","color","n1","n2","n","sample","female","age","m1","sd1","m2","sd2","t","F","d","stat","page","rec","test","testcat","matched","calib","mode","dur","design","note","yi","vi","color2"
"1","arthur2016",2016,1,1,"US","Journal","Color of cover sheet","green",36,40,76,"Undergraduates",NA,NA,86.11,9.34,80.83,14.23,NA,NA,NA,NA,"p1598",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","before","between","sample 1; high-stakes setting",0.429629660084308,0.0539921307042525,"green"
"2","arthur2016",2016,2,1,"US","Journal","Color of all sheets","green",81,83,164,"Undergraduates",NA,NA,75.13,11.12,74.89,10.19,NA,NA,NA,NA,"p1598",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","sample 2; high-stakes setting",0.0224109292880219,0.0243954030326726,"green"
"3","arthur2016",2016,3,1,"US","Journal","Color of all sheets","green",43,44,87,"Undergraduates",NA,NA,49.93,10.45,48.93,12.92,NA,NA,NA,NA,"p1599",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","sample 3; low-stakes setting",0.084249096978135,0.0460238792689314,"green"
"4","bertrams2015",2015,4,1,"DE","Journal","Color of rectangle on cover sheet","gray",16,17,33,"Undergraduates",57.5757575757576,22.32,4.1875,3.14576,4.0588,2.77197,NA,NA,NA,NA,NA,0,"Arithmetic reasoning","Reasoning","not matched",0,"paper","before","between","study 1; control condition; statistics provided by personal communication",0.0424373319278913,0.121350816186631,"gray"
"5","bertrams2015",2015,5,1,"DE","Journal","Color of rectangle on cover sheet","gray",18,20,38,"Undergraduates",78.9473684210526,22.01,12.2778,2.21772,11.3,2.97534,NA,NA,NA,NA,NA,0,"Verbal analogies","Reasoning","not matched",0,"paper","before","between","study 2; control condition; statistics provided by personal communication",0.361956049371581,0.107279400051301,"gray"
"6","caschera2015",2015,6,1,"US","Thesis/Presentation","Ink color of entire test","green",8,8,16,"Mixed",53.125,27.03,12.12,4.794,14.25,5.12,NA,NA,NA,NA,"p26",0,"Anagram test","Anagrams","not matched",0,"paper","during","between","easy anagrams",-0.406037989770993,0.25515208903554,"green"
"7","caschera2015",2015,7,1,"US","Thesis/Presentation","Ink color of entire test","green",8,8,16,"Mixed",53.125,27.03,8.13,2.85,11.38,2.925,NA,NA,NA,NA,"p26",0,"Anagram test","Anagrams","not matched",0,"paper","during","between","difficult anagrams",-1.0640582436571,0.285381873309207,"green"
"8","castell2018",2018,8,1,"DE","Journal","Color of room","white",43,44,87,"High school students",51.4792899408284,18.58,59.53,13.62,61.59,12.56,NA,NA,NA,NA,NA,0,"Numerical reasoning","Reasoning","not matched",0,"paper","during","between","statistics provided by personal communication",-0.155925841013452,0.0461228158065988,"other"
"9","castell2018",2018,8,1,"DE","Journal","Color of room","blue",43,39,82,"High school students",51.4792899408284,18.58,59.53,13.62,58.72,13.21,NA,NA,NA,NA,NA,0,"Numerical reasoning","Reasoning","not matched",0,"paper","during","between","statistics provided by personal communication",0.0597597178159577,0.0489186153498399,"blue"
"10","castell2018",2018,8,2,"DE","Journal","Color of room","white",43,44,87,"High school students",51.4792899408284,18.58,27.56,12.22,19.66,12.73,NA,NA,NA,NA,NA,0,"Mental rotation","Reasoning","not matched",0,"paper","during","between","statistics provided by personal communication",0.627380525614131,0.0482451919906454,"other"
