"","es_id","study_id","author","pub_year","country","color","n","design","yi","vi"
"1",1,1,"arthur2016",2016,"US","green",76,"between",0.429629660084308,0.0539921307042525
"2",2,1,"arthur2016",2016,"US","green",164,"between",0.0224109292880219,0.0243954030326726
"3",3,1,"arthur2016",2016,"US","green",87,"between",0.084249096978135,0.0460238792689314
"4",4,2,"bertrams2015",2015,"DE","gray",33,"between",0.0424373319278913,0.121350816186631
"5",5,2,"bertrams2015",2015,"DE","gray",38,"between",0.361956049371581,0.107279400051301
"6",6,3,"caschera2015",2015,"US","green",16,"between",-0.406037989770993,0.25515208903554
"7",7,3,"caschera2015",2015,"US","green",16,"between",-1.0640582436571,0.285381873309207
"8",8,4,"castell2018",2018,"DE","white",87,"between",-0.155925841013452,0.0461228158065988
"9",9,4,"castell2018",2018,"DE","blue",82,"between",0.0597597178159577,0.0489186153498399
"10",10,4,"castell2018",2018,"DE","white",87,"between",0.627380525614131,0.0482451919906454
"11",11,4,"castell2018",2018,"DE","blue",82,"between",0.244868488375159,0.04926245286646
"12",12,5,"drummond2017",2017,"US","green",61,"between",-0.538094454886271,0.0679647227869981
"13",13,5,"drummond2017",2017,"US","black",80,"between",-0.0900408517867094,0.0500506709686905
"14",14,6,"elliot2007",2007,"US","green",46,"between",-0.0815326685180802,0.0897408722456628
"15",15,6,"elliot2007",2007,"US","black",44,"between",-0.204210413192422,0.0931054640934618
"16",16,6,"elliot2007",2007,"DE","green",30,"between",-1.24221479764626,0.159051626724856
"17",17,6,"elliot2007",2007,"DE","white",31,"between",-0.995185076888759,0.145140752751539
"18",18,6,"elliot2007",2007,"DE","green",22,"between",-1.50566649482697,0.234856778643436
"19",19,6,"elliot2007",2007,"DE","gray",18,"between",-0.757880463483299,0.240955077692491
"20",20,6,"elliot2007",2007,"DE","green",40,"between",-0.527925232539271,0.104493914149497
"21",21,6,"elliot2007",2007,"DE","gray",35,"between",-0.479196187751987,0.117659499058121
"22",22,7,"elliot2019",2019,"US","green",40,"within",0.0981607811299818,0.100120444236901
"23",23,7,"elliot2019",2019,"US","green",135,"within",0.107107839564903,0.0296737447068853
"24",24,8,"gnambs2010",2010,"AT","green",131,"between",-0.510653843361088,0.0315314257565101
"25",25,8,"gnambs2010",2010,"DE","blue",133,"between",-0.0372158496299192,0.030218746140407
"26",26,8,"gnambs2010",2010,"DE","blue",128,"between",-0.078850279289921,0.0316526532794392
